Ticker,Company,Accuracy,Strategy_Return_%,Market_Return_%,Sharpe,Max_Drawdown_%
AXISBANK.NS,AXISBANK,0.33532934131736525,-56.09279789945948,176.70561905633488,-0.7332744806871326,-56.797954029844156
BAJAJFINSV.NS,BAJAJFINSV,0.3169877408056042,-59.30303954325977,109.82974890146866,-1.2908300893303604,-62.67935511416071
INDUSINDBK.NS,INDUSINDBK,0.31418624891209745,-61.02762062346314,-14.695050174277391,-0.5923724212024595,-68.29762599258228
SUNPHARMA.NS,SUNPHARMA,0.37375886524822693,-61.04051338843678,389.9781792048169,-0.9075558790358039,-65.32861853782236
ITC.NS,ITC,0.35273243435060325,-61.45542867951117,169.52623373504144,-0.81843972257032,-61.07788424522853
BAJAJ-AUTO.NS,BAJAJ-AUTO,0.3342082239720035,-62.97622297050497,182.5445787677143,-1.4891808202995434,-63.69560219839897
BRITANNIA.NS,BRITANNIA,0.35106382978723405,-64.72035099215229,125.84898915235279,-0.850117539770255,-68.79807652840151
APOLLOHOSP.NS,APOLLOHOSP,0.34812880765883375,-64.98992995636111,156.49779584896274,-0.8116467211232321,-65.92312634768662
INFY.NS,INFY,0.32340425531914896,-66.8781606111541,140.3260525224836,-0.9713528981289624,-67.35209462567853
HINDALCO.NS,HINDALCO,0.3524822695035461,-67.17176586758994,452.0492730125156,-0.3648200804271051,-78.12403388264883
TATACONSUM.NS,TATACONSUM,0.3371185237757275,-70.67206719363735,240.71255064078244,-0.9198243749580569,-72.04390118289442
ADANIENT.NS,ADANIENT,0.3342036553524804,-74.38522144385843,172.3988531580826,-0.4247712964299338,-75.50870453962091
